MinimizeOrder,Conformation,Score,LowerBound,Corrected,FinalEnergy,OldConfLower,OldConfUpper,SubtreeLower,SubtreeUpper,ErrorBound,BoltzmannWeight,PercentContribution,ContributionRank
1,7     9     5     7     9     7     0     13,-92.269437,-92.269437,-90.950781,-90.055232,-92.269437,-64.909740,3.418408e+47,3.711139e+67,3.711139e+67,3.977542e+65,13.165448,2
2,7     9     5     7     9     7     8     13,-91.433431,-92.223476,-91.180657,-90.076011,-91.433431,-66.082078,2.467938e+48,9.063466e+66,9.063466e+66,4.118613e+65,13.632386,1
3,7     9     5     7     9     7     8     27,-91.393155,-92.105451,-91.062632,-89.928002,-91.393155,-89.436589,3.126036e+65,8.468382e+66,8.155778e+66,3.213184e+65,10.635467,4
4,7     9     5     7     9     7     0     27,-90.825121,-92.143777,-90.825121,-89.867793,-90.825121,-88.246884,4.204994e+64,3.249566e+66,3.207516e+66,2.904539e+65,9.613866,5
5,7     9     5     7     9     7     1     13,-91.253245,-92.043291,-90.968771,-89.988348,-91.253245,-65.998912,2.145019e+48,6.688727e+66,6.688727e+66,3.555445e+65,11.768330,3
6,7     9     5     7     9     7     1     17,-90.711158,-91.423454,-90.348934,-89.376045,-90.711158,-55.536123,4.671575e+40,2.681448e+66,2.681448e+66,1.273120e+65,4.213959,9
7,7     9     5     7     9     7     8     17,-90.561803,-91.604622,-90.561803,-89.463764,-90.561803,-55.619982,5.381133e+40,2.084470e+66,2.084470e+66,1.474916e+65,4.881892,7
8,7     9     5     7     9     7     0     17,-90.333652,-91.652308,-90.333652,-89.442611,-90.333652,-54.449844,7.481242e+39,1.418794e+66,1.418794e+66,1.423504e+65,4.711720,8
9,7     9     5     7     9     7     8     11,-90.096505,-91.139324,-90.096505,-88.956782,-90.096505,-88.306253,4.647742e+64,9.511621e+65,9.046847e+65,6.301769e+64,2.085852,12
10,7     9     5     7     9     7     8     19,-90.056695,-91.099514,-90.056695,-88.980068,-90.056695,-87.954413,2.567953e+64,8.894089e+65,8.637294e+65,6.552770e+64,2.168931,11
11,7     9     5     7     9     7     0     11,-89.863311,-91.181967,-89.863311,-88.902545,-89.863311,-87.129568,6.390689e+63,6.419263e+65,6.355356e+65,5.753793e+64,1.904474,13
12,7     9     5     7     9     7     1     11,-89.880447,-90.954967,-89.880447,-88.869351,-89.880447,-88.220398,4.021331e+64,6.607458e+65,6.205325e+65,5.442200e+64,1.801339,15
13,7     9     5     7     9     7     1     27,-90.846699,-91.921219,-90.846699,-89.842561,-90.846699,-89.348135,2.692892e+65,3.369975e+66,3.100686e+66,2.784179e+65,9.215483,6
14,7     9     5     7     9     7     0     19,-89.847335,-91.165991,-89.847335,-88.983626,-89.847335,-86.803848,3.689954e+63,6.248654e+65,6.211754e+65,6.591992e+64,2.181914,10
15,7     9     1     7     9     7     0     13,-89.498080,-90.384093,-89.207945,-87.957408,-89.498080,-61.299955,7.768810e+44,3.467563e+65,3.467563e+65,1.178911e+64,0.390213,17
16,7     9     1     7     9     7     8     13,-89.524150,-90.338027,-89.090748,-87.978145,-89.524150,-62.472144,5.607331e+45,3.623392e+65,3.623392e+65,1.220637e+64,0.404024,16
17,7     9     1     7     9     7     8     27,-89.385010,-90.219961,-88.972682,-87.830113,-89.385010,-85.826584,7.101733e+62,2.865645e+65,2.858543e+65,9.522577e+63,0.315192,19
18,7     9     5     7     9     7     1     19,-89.846639,-90.921159,-89.846639,-88.891287,-89.846639,-87.872361,2.236143e+64,6.241317e+65,6.017702e+65,5.646164e+64,1.868850,14
19,7     9     5     7     9     7     8     14,-88.923588,-89.966407,-88.923588,-87.751091,-88.923588,-86.604440,2.636290e+63,1.316195e+65,1.289832e+65,8.340496e+63,0.276066,21
20,7     9     5     7     9     7     0     14,-88.663448,-89.982104,-88.663448,-87.669266,-88.663448,-85.365282,3.262494e+62,8.488250e+64,8.455626e+64,7.270888e+63,0.240662,23
21,7     9     5     7     9     7     1     14,-88.707209,-89.781729,-88.707209,-87.663676,-88.707209,-86.501812,2.217370e+63,9.138274e+64,8.916537e+64,7.203035e+63,0.238417,24
22,7     9     5     7     9     7     8     16,-88.773403,-89.816222,-88.773403,-87.635957,-88.773403,-86.445255,2.015676e+63,1.021736e+65,1.001580e+65,6.875811e+63,0.227586,25
23,7     9     1     7     9     7     0     27,-89.082245,-90.258393,-89.082245,-87.769981,-89.082245,-84.637028,9.555300e+61,1.719909e+65,1.718953e+65,8.608987e+63,0.284953,20
24,7     9     1     7     9     7     1     27,-88.756781,-90.035762,-88.756781,-87.744722,-88.756781,-85.738149,6.117899e+62,9.934972e+64,9.873793e+64,8.251872e+63,0.273132,22
25,7     9     1     7     9     7     1     13,-88.878894,-90.157874,-88.878894,-87.890523,-88.878894,-62.388996,4.873782e+45,1.220647e+65,1.220647e+65,1.053803e+64,0.348803,18
