# Largest design per PDB from MARK* SI Table 1 (200 continuous designs, 38 systems)
# design_id,pdb,description,num_seq,num_flex_mut,mutable,flexible,num_conformations,time_rank
1a0r,1a0r,Phosducin / transducin beta-gamma,21,10,G390,G387;G392;G386;G393;B280;B281;B283;B279;B284,6.877e12,191
1b6c,1b6c,Tgf-beta receptor / fkbp12,21,14,E965,F994;F995;E903;E892;E957;E925;E963;E947;E922;E942;E940;E967;E948,4.190e12,161
1gwc,1gwc,Glutathione s-transferase,21,13,C514,B314;B309;B313;B311;B317;C510;C505;C446;C503;C511;C498;C500,4.455e12,184
2hnu,2hnu,Bovine neurophysin-i (Q58v mutant),441,11,D309;D318,D311;D271;D316;D306;D305;C192;C182;C233;C181,3.848e10,187
2hnv,2hnv,Q58v mutant of bovine neurophysin-i,441,11,C237;C228,D273;D262;D314;D263;C235;C224;C225;C230;C190,3.848e10,188
2p4a,2p4a,Camelid affinity matured single-domain vhh / rnase a,441,9,D476;D475,B226;B225;B228;A111;A69;A71,1.424e9,105
2q1e,2q1e,Amyloidogenic kappa1 bence jones protein,21,10,D418,D427;D365;D363;D420;D416;D425;C309;C316;C314,2.877e10,63
2q2a,2q2a,Artj,441,13,B385,B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153,3.772e11,171
2rf9,2rf9,Egfr kinase / mig6 peptide,441,8,D586;D585,D582;D578;B499;B503,5.538e8,62
2rfd,2rfd,Egfr kinase / mig6 peptide,441,9,B547;B544,B552;B543;B541;B540;B531;B530;A238,3.470e11,180
2rfe,2rfe,Egfr kinase / mig6 peptide,21,13,B488,F1138;B500;B499;B504;B506;B475;B471;B452;B524;B505;B496;B491,1.605e14,157
2rl0,2rl0,Fibronectin f1 modules 4-5 / staphylococcus aureus fnhpa-5,21,13,A85,G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76,3.218e12,159
2xgy,2xgy,Lentivirus (relik) capsid / cyclophilin a,441,13,B189;B184,B248;B242;B277;B192;B190;B186;B183;B250;B251;A83;A76,1.193e15,163
2xxm,2xxm,Hiv-1 capsid protein / camelid vhh,21,12,B107,B115;B117;B109;B173;B105;B167;B165;A30;A4;A6;A5,1.411e13,178
3bu8,3bu8,Trf2 trfh / tin2 peptide,21,4,B243,D431;A34;A35,1.421e5,58
3bua,3bua,Trf2 trfh / apollo peptide,441,17,C447;C450,D638;D641;D642;D645;D623;D619;D616;D620;C417;C414;C410;C421;C452;C443;C444;C446,1.191e17,199
3cal,3cal,Fibronectin f1 modules2-3 / staphylococcus aureus fnhpa-5,21,11,C147,D210;D212;C126;C128;C113;C137;C111;C139;C120;C149,1.512e11,152
3eb6,3eb6,Ciap2 ring domain / ubch5b,441,9,A44;A45,B128;A55;A29;A19;A42;A41;A37,1.055e9,81
3gxu,3gxu,Eph receptor / ephrin,21,4,A30,B249;B250;B251,5.400e5,34
3k3q,3k3q,Llama antibody / c. botulinum neurotoxin,441,17,C444;C440,B254;B316;B253;B263;B358;B284;C416;C456;C454;C446;C436;C420;C413;C437;C439,3.256e17,200
3ma2,3ma2,Metalloproteinase mt1-mmp / timp-1,441,15,A316;A254,B341;B343;A276;A290;A291;A271;A277;A287;A318;A274;A255;A315;A286,1.185e15,195
3u7y,3u7y,Nih45-46 fab / gp120 of 93th057 hiv,441,5,G384;G382,G385;L587;L649,2.967e7,71
4hem,4hem,Llama vhh-02 / tp901-1,21,12,C372,B226;C326;C303;C318;C360;C377;C322;C332;C328;C330;C353,2.123e11,144
4kt6,4kt6,Beta-nad+ glycohydrolase/ifs,21,10,D712,D822;D815;D759;C512;C511;C509;C519;C515;C518,9.001e12,172
4pxf,4pxf,Opsin / finger-loop peptide,21,9,A249,B328;B330;A246;A245;A226;A225;A138;A229,1.179e8,50
4u3s,4u3s,Coh3scab-xdoc m1scaa,441,13,B280;B277,B309;B276;B273;B274;A32;A76;A145;A97;A94;A93;A95,1.055e15,196
4wem,4wem,F4 fimbrial adhesin faeg / llama antibody v1,21,5,B347,B357;B278;A42;A4,2.014e7,30
4wwi,4wwi,Staphylococcal protein a / human igg fc,21,10,B60,E382;E384;E540;E378;E538;B62;B64;B65;B58,2.567e11,179
4wyq,4wyq,Dicer-trbp,21,10,E394,D288;D289;D285;E367;E371;E373;E365;E391;E390,2.292e12,166
4wyu,4wyu,Scribble pdz34 tandem,441,12,A94;A70,B212;B213;A12;A90;A96;A93;A92;A72;A69;A88,3.634e13,190
4z80,4z80,Toxoplasma gondii ama4 di-dii-egf1 / tgron2l1 peptide,441,13,D967;D970,D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663,1.181e16,194
4znc,4znc,Human igg / staphylococcal protein a,21,9,E534,F716;F733;F731;F718;F731;E499;E528;E497,7.054e10,177
5a6y,5a6y,Lecb lectin / mannose-alpha1.3mannoside,441,16,D455;D452,D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331,1.232e16,198
5d68,5d68,Krit1 ard-ferm,21,12,A313,C903;C937;C905;C910;C935;C914;A310;A309;A265;A261;A262,4.364e11,153
5dc0,5dc0,Monobody gg3 / abl1 sh2 domain,441,6,B116;B138,B181;B137;A51;A52,3.749e9,77
5dc4,5dc4,Monobody as25 / abl1 sh2 domain,441,11,A95;A28,B176;B172;B173;B174;A25;A26;A97;A21;A46,1.615e12,193
5em2,5em2,Erb1-ytm1,441,8,B614;B612,B606;B609;B607;B537;A105;A103,1.127e9,120
5it3,5it3,Swirm domain of human lsd1,21,6,A41,B134;B153;A37;A34;A38,1.918e7,52
