task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	historical_mark_days	historical_pack_minutes	rough_mark_days_2x	rough_mark_days_3x	old_scan_branchwidth
0	2xgy_flex_m2	2xgy	-2	B189;B184	B248;B242;B277;B192;B190;B186;B183;A83;A76		B251;B250	9	11	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	13.938328703703705	25.371666666666666	3.4845821759259263	1.5487031893004117	unmeasured
1	2xgy_flex_m1	2xgy	-1	B189;B184	B248;B242;B277;B192;B190;B186;B183;B250;A83;A76		B251	10	12	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	13.938328703703705	25.371666666666666	6.969164351851853	4.6461095679012345	unmeasured
2	2xgy_flex_p0	2xgy	0	B189;B184	B248;B242;B277;B192;B190;B186;B183;B250;B251;A83;A76			11	13	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	13.938328703703705	25.371666666666666	13.938328703703705	13.938328703703705	5
3	4u3s_flex_m2	4u3s	-2	B280;B277	B309;B276;A32;A76;A145;A97;A94;A93;A95		B274;B273	9	11	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12.424085648148148	64.83	3.106021412037037	1.3804539609053497	unmeasured
4	4u3s_flex_m1	4u3s	-1	B280;B277	B309;B276;B273;A32;A76;A145;A97;A94;A93;A95		B274	10	12	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12.424085648148148	64.83	6.212042824074074	4.141361882716049	unmeasured
5	4u3s_flex_p0	4u3s	0	B280;B277	B309;B276;B273;B274;A32;A76;A145;A97;A94;A93;A95			11	13	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12.424085648148148	64.83	12.424085648148148	12.424085648148148	7
6	3ma2_flex_p0	3ma2	0	A316;A254	B341;B343;A276;A290;A291;A271;A277;A287;A318;A274;A255;A315;A286			13	15	39	structures/3ma2.min.reduce.renum.pdb	35574de4dd7f77096cb7dce027f6edd29efb1441a4b4155163e66e0f11756bad	6.121546296296296	67.41	6.121546296296296	6.121546296296296	8
7	3ma2_flex_p1	3ma2	1	A316;A254	B341;B343;A276;A290;A291;A271;A277;A287;A318;A274;A255;A315;A286;A317	A317		14	16	39	structures/3ma2.min.reduce.renum.pdb	35574de4dd7f77096cb7dce027f6edd29efb1441a4b4155163e66e0f11756bad	6.121546296296296	67.41	12.243092592592593	18.36463888888889	9
8	4wyu_flex_p0	4wyu	0	A94;A70	B212;B213;A12;A90;A96;A93;A92;A72;A69;A88			10	12	39	structures/4wyu.min.reduce.renum.pdb	db330b3e3968865b8225c3f7735df44d39828c3bd032bc2f2ce3d3def7c77d53	5.77237037037037	68.77	5.77237037037037	5.77237037037037	6
9	4wyu_flex_p1	4wyu	1	A94;A70	B212;B213;A12;A90;A96;A93;A92;A72;A69;A88;A95	A95		11	13	39	structures/4wyu.min.reduce.renum.pdb	db330b3e3968865b8225c3f7735df44d39828c3bd032bc2f2ce3d3def7c77d53	5.77237037037037	68.77	11.54474074074074	17.31711111111111	7
10	5a6y_flex_p0	5a6y	0	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331			14	16	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	2.022341435185185	59.33833333333334	2.022341435185185	2.022341435185185	7
11	5a6y_flex_p1	5a6y	1	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331;D454	D454		15	17	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	2.022341435185185	59.33833333333334	4.04468287037037	6.067024305555556	8
12	5a6y_flex_p2	5a6y	2	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331;D454;D451	D454;D451		16	18	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	2.022341435185185	59.33833333333334	8.08936574074074	18.201072916666668	8
13	3k3q_flex_p0	3k3q	0	C444;C440	B254;B316;B253;B263;B358;B284;C416;C456;C454;C446;C436;C420;C413;C437;C439			15	17	39	structures/3k3q.min.reduce.renum.pdb	c304d4f14e5f9ea391f67d824dac985117354bcf840418913063edf0c0473bf4	2.2054293981481483	97.54833333333333	2.2054293981481483	2.2054293981481483	7
