task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id	h200_source_manifest	h200_source_index
0	2xgy_flex_m2	2xgy	-2	B189;B184	B248;B242;B277;B192;B190;B186;B183;A83;A76		B251;B250	9	11	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	12631847_0	16	192	160	retained	0	frontier.tsv	0
1	2xgy_flex_m1	2xgy	-1	B189;B184	B248;B242;B277;B192;B190;B186;B183;B250;A83;A76		B251	10	12	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	12631847_1	16	192	160	retained	1	frontier.tsv	1
2	2xgy_flex_p0	2xgy	0	B189;B184	B248;B242;B277;B192;B190;B186;B183;B250;B251;A83;A76			11	13	39	structures/2xgy.min.reduce.renum.pdb	15b6cc16fc3a32d759168c7d8a1c7f583684980f641d87ecc08687070e5de2db	12631847_2	16	192	160	retained	2	frontier.tsv	2
3	4u3s_flex_m2	4u3s	-2	B280;B277	B309;B276;A32;A76;A145;A97;A94;A93;A95		B274;B273	9	11	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12631847_3	16	192	160	retained	3	frontier.tsv	3
4	4u3s_flex_m1	4u3s	-1	B280;B277	B309;B276;B273;A32;A76;A145;A97;A94;A93;A95		B274	10	12	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12631847_4	16	192	160	retained	4	frontier.tsv	4
5	4u3s_flex_p0	4u3s	0	B280;B277	B309;B276;B273;B274;A32;A76;A145;A97;A94;A93;A95			11	13	39	structures/4u3s.min.reduce.renum.pdb	96a204e521a8e3b9f1ee81384d85e85d1250ca75e7c00027dc6cd4bf47b7e913	12631847_5	16	192	160	retained	5	frontier.tsv	5
6	3ma2_flex_p0	3ma2	0	A316;A254	B341;B343;A276;A290;A291;A271;A277;A287;A318;A274;A255;A315;A286			13	15	39	structures/3ma2.min.reduce.renum.pdb	35574de4dd7f77096cb7dce027f6edd29efb1441a4b4155163e66e0f11756bad	12631847_6	16	192	160	retained	6	frontier.tsv	6
7	3ma2_flex_p1	3ma2	1	A316;A254	B341;B343;A276;A290;A291;A271;A277;A287;A318;A274;A255;A315;A286;A317	A317		14	16	39	structures/3ma2.min.reduce.renum.pdb	35574de4dd7f77096cb7dce027f6edd29efb1441a4b4155163e66e0f11756bad	12631847_7	16	192	160	retained	7	frontier.tsv	7
8	4wyu_flex_p0	4wyu	0	A94;A70	B212;B213;A12;A90;A96;A93;A92;A72;A69;A88			10	12	39	structures/4wyu.min.reduce.renum.pdb	db330b3e3968865b8225c3f7735df44d39828c3bd032bc2f2ce3d3def7c77d53	12631847_8	16	192	160	retained	8	frontier.tsv	8
9	4wyu_flex_p1	4wyu	1	A94;A70	B212;B213;A12;A90;A96;A93;A92;A72;A69;A88;A95	A95		11	13	39	structures/4wyu.min.reduce.renum.pdb	db330b3e3968865b8225c3f7735df44d39828c3bd032bc2f2ce3d3def7c77d53	12631847_9	16	192	160	retained	9	frontier.tsv	9
10	5a6y_flex_p0	5a6y	0	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331			14	16	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	12631847_10	16	192	160	retained	10	frontier.tsv	10
11	5a6y_flex_p1	5a6y	1	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331;D454	D454		15	17	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	12631847_11	16	192	160	retained	11	frontier.tsv	11
12	5a6y_flex_p2	5a6y	2	D455;D452	D356;D359;D431;D355;D429;D450;D453;D396;C274;D363;C247;C275;C334;C331;D454;D451	D454;D451		16	18	39	structures/5a6y.min.reduce.renum.pdb	53066d5b532226fcdeddb6a19e6b183dedcedcdc51578da23a8d53dd19e0090a	12631847_12	16	192	160	retained	12	frontier.tsv	12
13	3k3q_flex_p0	3k3q	0	C444;C440	B254;B316;B253;B263;B358;B284;C416;C456;C454;C446;C436;C420;C413;C437;C439			15	17	39	structures/3k3q.min.reduce.renum.pdb	c304d4f14e5f9ea391f67d824dac985117354bcf840418913063edf0c0473bf4	12631847_13	16	192	160	retained	13	frontier.tsv	13
14	4wyq_flex_p0	4wyq	0	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390			9	10	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	12631847_28	16	192	160	retained	28	frontier.tsv	16
15	4wyq_flex_p1	4wyq	1	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372	E372		10	11	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	12631847_29	16	192	160	retained	29	frontier.tsv	17
16	4wyq_flex_p2	4wyq	2	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372;E370	E372;E370		11	12	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	12631847_30	16	192	160	retained	30	frontier.tsv	18
17	4wyq_flex_p3	4wyq	3	E394	D288;D289;D285;E367;E371;E373;E365;E391;E390;E372;E370;D284	E372;E370;D284		12	13	20	structures/4wyq.min.reduce.renum.pdb	adc46edd5b0e67e235edd709ef040a657aa4b1141cf7f4573ca6c79caadbfbc0	12631847_31	16	192	160	retained	31	frontier.tsv	19
18	1a0r_flex_m2	1a0r	-2	G390	G387;G392;B280;B281;B283;B279;B284		G393;G386	7	8	20	structures/1a0r.min.reduce.renum.pdb	1dafb36daca93ee3e6db23e7bb648d96f7f67e14fb5bce94f2efa036a3e85b2d	12632191_0	16	192	160	added	0	frontier.tsv	20
19	1a0r_flex_m1	1a0r	-1	G390	G387;G392;G386;B280;B281;B283;B279;B284		G393	8	9	20	structures/1a0r.min.reduce.renum.pdb	1dafb36daca93ee3e6db23e7bb648d96f7f67e14fb5bce94f2efa036a3e85b2d	12632191_1	16	192	160	added	1	frontier.tsv	21
20	1a0r_flex_p0	1a0r	0	G390	G387;G392;G386;G393;B280;B281;B283;B279;B284			9	10	20	structures/1a0r.min.reduce.renum.pdb	1dafb36daca93ee3e6db23e7bb648d96f7f67e14fb5bce94f2efa036a3e85b2d	12632191_2	16	192	160	added	2	frontier.tsv	22
21	4wwi_flex_p0	4wwi	0	B60	E382;E384;E540;E378;E538;B62;B64;B65;B58			9	10	20	structures/4wwi.min.reduce.renum.pdb	e3fe494b90ae378dd254eb049d59e71262172051f3e125553950c305ced7bd74	12632191_3	16	192	160	added	3	frontier.tsv	23
22	4wwi_flex_p1	4wwi	1	B60	E382;E384;E540;E378;E538;B62;B64;B65;B58;E541	E541		10	11	20	structures/4wwi.min.reduce.renum.pdb	e3fe494b90ae378dd254eb049d59e71262172051f3e125553950c305ced7bd74	12632191_4	16	192	160	added	4	frontier.tsv	24
23	4wwi_flex_p2	4wwi	2	B60	E382;E384;E540;E378;E538;B62;B64;B65;B58;E541;B59	E541;B59		11	12	20	structures/4wwi.min.reduce.renum.pdb	e3fe494b90ae378dd254eb049d59e71262172051f3e125553950c305ced7bd74	12632191_5	16	192	160	added	5	frontier.tsv	25
24	4wwi_flex_p3	4wwi	3	B60	E382;E384;E540;E378;E538;B62;B64;B65;B58;E541;B59;B66	E541;B59;B66		12	13	20	structures/4wwi.min.reduce.renum.pdb	e3fe494b90ae378dd254eb049d59e71262172051f3e125553950c305ced7bd74	12632191_6	16	192	160	added	6	frontier.tsv	26
25	5dc4_flex_p0	5dc4	0	A95;A28	B176;B172;B173;B174;A25;A26;A97;A21;A46			9	11	39	structures/5dc4.min.reduce.renum.pdb	f1dc1758bd76057ce195cabfc51efcafce37d661b9fc5cc8c24a8375649c07d1	12632191_7	16	192	160	added	7	frontier.tsv	27
26	5dc4_flex_p1	5dc4	1	A95;A28	B176;B172;B173;B174;A25;A26;A97;A21;A46;A24	A24		10	12	39	structures/5dc4.min.reduce.renum.pdb	f1dc1758bd76057ce195cabfc51efcafce37d661b9fc5cc8c24a8375649c07d1	12632191_8	16	192	160	added	8	frontier.tsv	28
27	5dc4_flex_p2	5dc4	2	A95;A28	B176;B172;B173;B174;A25;A26;A97;A21;A46;A24;A29	A24;A29		11	13	39	structures/5dc4.min.reduce.renum.pdb	f1dc1758bd76057ce195cabfc51efcafce37d661b9fc5cc8c24a8375649c07d1	12632191_9	16	192	160	added	9	frontier.tsv	29
