task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
0	2rfd_flex_p0	2rfd	0	B547;B544	B543;B541;B540;B531;B530;A238			6	8	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_0	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	0
1	2rfd_flex_p1	2rfd	1	B547;B544	B543;B541;B540;B531;B530;A238;B545	B545		7	9	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_1	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	1
2	2rfd_flex_p2	2rfd	2	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553	B545;B553		8	10	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_2	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	2
3	2rfd_flex_p3	2rfd	3	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239	B545;B553;A239		9	11	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_3	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	3
4	2rfd_flex_p4	2rfd	4	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237	B545;B553;A239;A237		10	12	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12633776_4	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	4
5	3u7y_flex_p0	3u7y	0	G384;G382	G385;L587;L649			3	5	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_5	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	5
6	3u7y_flex_p1	3u7y	1	G384;G382	G385;L587;L649;L648	L648		4	6	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_6	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	6
7	3u7y_flex_p2	3u7y	2	G384;G382	G385;L587;L649;L648;G386	L648;G386		5	7	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_7	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	7
8	3u7y_flex_p3	3u7y	3	G384;G382	G385;L587;L649;L648;G386;L586	L648;G386;L586		6	8	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_8	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	8
9	3u7y_flex_p4	3u7y	4	G384;G382	G385;L587;L649;L648;G386;L586;L650	L648;G386;L586;L650		7	9	39	structures/3u7y.min.reduce.renum.pdb	05c017babffa70e299ede4dd2e7a2982d50ab3054755309c29099ff13f2678b5	12633776_9	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier16_20260918/prep_12633774/package	9
