task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
0	2p4a_flex_p7	2p4a	7	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68;B227;A70;D474	B224;A112;B229;A68;B227;A70;D474		13	15	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12686144_0	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	0
1	2p4a_flex_p8	2p4a	8	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68;B227;A70;D474;D477	B224;A112;B229;A68;B227;A70;D474;D477		14	16	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12686144_1	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	1
2	2p4a_flex_p9	2p4a	9	D476;D475	B226;B225;B228;A111;A69;A71;B224;A112;B229;A68;B227;A70;D474;D477;B231	B224;A112;B229;A68;B227;A70;D474;D477;B231		15	17	39	structures/2p4a.min.reduce.renum.pdb	b4a481b2b2b0c3b5c47f49a1e223828c4139dfb7e3ae25398a7852cb24ae9f92	12686144_2	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	2
3	2rfd_flex_p6	2rfd	6	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237;B539;B529	B545;B553;A239;A237;B539;B529		12	14	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12686144_3	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	3
4	2rfd_flex_p7	2rfd	7	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237;B539;B529;B532	B545;B553;A239;A237;B539;B529;B532		13	15	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12686144_4	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	4
5	2rfd_flex_p8	2rfd	8	B547;B544	B543;B541;B540;B531;B530;A238;B545;B553;A239;A237;B539;B529;B532;B551	B545;B553;A239;A237;B539;B529;B532;B551		14	16	39	structures/2rfd.min.reduce.renum.pdb	49712eacd79226367fe50bf5f562e1f5eae5b46e1efb1089ba1de37c7622152a	12686144_5	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	5
6	4z80_flex_p0	4z80	0	D967;D970	D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663			12	14	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	12686144_6	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	6
7	4z80_flex_p1	4z80	1	D967;D970	D972;D971;D969;B621;B620;B646;B758;B756;B649;B760;B563;B663;B759	B759		13	15	39	structures/4z80.min.reduce.renum.pdb	3b9938f38c7a5d45ca5985d0069f19de191894389f918af3d1e30406d989724d	12686144_7	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	7
8	5em2_flex_p5	5em2	5	B614;B612	B606;B609;B607;B537;A105;A103;B538;B536;A104;A106;B608	B538;B536;A104;A106;B608		11	13	39	structures/5em2.min.reduce.renum.pdb	0166b3c392b703c1fec55dd1d3907bd4a7c396ab8ec4260ebb8f304353b51ad9	12686144_8	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	8
9	5em2_flex_p6	5em2	6	B614;B612	B606;B609;B607;B537;A105;A103;B538;B536;A104;A106;B608;B611	B538;B536;A104;A106;B608;B611		12	14	39	structures/5em2.min.reduce.renum.pdb	0166b3c392b703c1fec55dd1d3907bd4a7c396ab8ec4260ebb8f304353b51ad9	12686144_9	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	9
10	2hnv_flex_p4	2hnv	4	C237;C228	D273;D262;D314;D263;C235;C224;C225;C230;C190;C238;D261;D274;D315	C238;D261;D274;D315		13	15	39	structures/2hnv.min.reduce.renum.pdb	72965bf15cb3b5b64d655903ba4079bedc5938fd5026d75f5855d2e6c28f3942	12686144_10	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	10
11	2hnv_flex_p5	2hnv	5	C237;C228	D273;D262;D314;D263;C235;C224;C225;C230;C190;C238;D261;D274;D315;C226	C238;D261;D274;D315;C226		14	16	39	structures/2hnv.min.reduce.renum.pdb	72965bf15cb3b5b64d655903ba4079bedc5938fd5026d75f5855d2e6c28f3942	12686144_11	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	11
12	2q2a_flex_p2	2q2a	2	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404;B402	B404;B402		14	15	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	12686144_12	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	12
13	2q2a_flex_p3	2q2a	3	B385	B403;B400;B383;B362;B363;B391;B394;B390;A144;A156;A149;A153;B404;B402;B384	B404;B402;B384		15	16	20	structures/2q2a.min.reduce.renum.pdb	ea4be6a6fd940f23bbcdb91b1678192a876b6f908c650eb7ffb006171e98a428	12686144_13	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	13
14	1gwc_flex_p2	1gwc	2	C514	B314;B309;B313;B311;B317;C510;C505;C446;C503;C511;C498;C500;C497;C445	C497;C445		14	15	20	structures/1gwc.min.reduce.renum.pdb	8e52f063e5911c83d039199e14da3edcd55355d6f93f00700cb96e6577b3f304	12686144_14	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	14
15	1gwc_flex_p3	1gwc	3	C514	B314;B309;B313;B311;B317;C510;C505;C446;C503;C511;C498;C500;C497;C445;C447	C497;C445;C447		15	16	20	structures/1gwc.min.reduce.renum.pdb	8e52f063e5911c83d039199e14da3edcd55355d6f93f00700cb96e6577b3f304	12686144_15	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	15
16	2rl0_flex_p1	2rl0	1	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76;G96	G96		13	14	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	12686144_16	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	16
17	2rl0_flex_p2	2rl0	2	A85	G95;G97;A75;A65;A63;A49;A48;A51;A50;A87;A77;A76;G96;G94	G96;G94		14	15	20	structures/2rl0.min.reduce.renum.pdb	17c3fc75a1a7799e94a0516af23187018499c3923868a87d8c4825fdf22ebbfd	12686144_17	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	17
18	2rfe_flex_p2	2rfe	2	B488	F1138;B500;B499;B504;B506;B475;B471;B452;B524;B505;B496;B491;B501;B472	B501;B472		14	15	20	structures/2rfe.min.reduce.renum.pdb	ce698f5fdbc5090c56247449564bc8e3518aafc92d330b3efa3253a811ac0d87	12686144_18	16	192	160	/usr/xtmp/lz280/markstar_backfill_20260922/prep_12686118/package	18
