task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
0	1b6c_flex_p0	1b6c	0	E965	F994;F995;E903;E892;E957;E925;E963;E947;E922;E942;E940;E967;E948			13	14	20	structures/1b6c.min.reduce.renum.pdb	f5f2300da8c053977b62db8ffe9c4e29119b29d9c6e1ff78e1486678736aee64	12651523_0	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	0
1	1b6c_flex_p1	1b6c	1	E965	F994;F995;E903;E892;E957;E925;E963;E947;E922;E942;E940;E967;E948;E893			14	15	20	structures/1b6c.min.reduce.renum.pdb	f5f2300da8c053977b62db8ffe9c4e29119b29d9c6e1ff78e1486678736aee64	12651523_1	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	1
2	1gwc_flex_p0	1gwc	0	C514	B314;B309;B313;B311;B317;C510;C505;C446;C503;C511;C498;C500			12	13	20	structures/1gwc.min.reduce.renum.pdb	8e52f063e5911c83d039199e14da3edcd55355d6f93f00700cb96e6577b3f304	12651523_2	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	2
3	1gwc_flex_p1	1gwc	1	C514	B314;B309;B313;B311;B317;C510;C505;C446;C503;C511;C498;C500;C497			13	14	20	structures/1gwc.min.reduce.renum.pdb	8e52f063e5911c83d039199e14da3edcd55355d6f93f00700cb96e6577b3f304	12651523_3	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	3
4	2hnu_flex_p2	2hnu	2	D309;D318	D311;D271;D316;D306;D305;C192;C182;C233;C181;D319;C193			11	13	39	structures/2hnu.min.reduce.renum.pdb	848f254f069c1a865a4c4a9b70cb361970bdaf2d5b2f2877ed750cef32a29d16	12651523_4	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	4
5	2hnu_flex_p3	2hnu	3	D309;D318	D311;D271;D316;D306;D305;C192;C182;C233;C181;D319;C193;C191			12	14	39	structures/2hnu.min.reduce.renum.pdb	848f254f069c1a865a4c4a9b70cb361970bdaf2d5b2f2877ed750cef32a29d16	12651523_5	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	5
6	2hnu_flex_p4	2hnu	4	D309;D318	D311;D271;D316;D306;D305;C192;C182;C233;C181;D319;C193;C191;C180			13	15	39	structures/2hnu.min.reduce.renum.pdb	848f254f069c1a865a4c4a9b70cb361970bdaf2d5b2f2877ed750cef32a29d16	12651516_6	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	6
7	2hnv_flex_p1	2hnv	1	C237;C228	D273;D262;D314;D263;C235;C224;C225;C230;C190;C238			10	12	39	structures/2hnv.min.reduce.renum.pdb	72965bf15cb3b5b64d655903ba4079bedc5938fd5026d75f5855d2e6c28f3942	12651523_7	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	7
8	2hnv_flex_p2	2hnv	2	C237;C228	D273;D262;D314;D263;C235;C224;C225;C230;C190;C238;D261			11	13	39	structures/2hnv.min.reduce.renum.pdb	72965bf15cb3b5b64d655903ba4079bedc5938fd5026d75f5855d2e6c28f3942	12651523_8	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	8
9	2hnv_flex_p3	2hnv	3	C237;C228	D273;D262;D314;D263;C235;C224;C225;C230;C190;C238;D261;D274			12	14	39	structures/2hnv.min.reduce.renum.pdb	72965bf15cb3b5b64d655903ba4079bedc5938fd5026d75f5855d2e6c28f3942	12651516_9	16	96	64	/usr/xtmp/lz280/packstar_flex_frontier38_20260920/prep_12651495/package	9
