task_id	design_id	system	flex_delta	mutable	flexible	added	removed	wt_flex_count	total_positions	expected_sequences	pdb_relative	pdb_sha256	markstar_job	markstar_cpus	markstar_memory_gib	markstar_heap_gib	source_package	source_task_id
0	3bu8_flex_p7	3bu8	7	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246	D430;B242;A36;D432;B244;A33;B246		10	11	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_0	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	0
1	3bu8_flex_p8	3bu8	8	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37	D430;B242;A36;D432;B244;A33;B246;A37		11	12	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_1	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	1
2	3bu8_flex_p9	3bu8	9	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37;A32	D430;B242;A36;D432;B244;A33;B246;A37;A32		12	13	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_2	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	2
3	3bu8_flex_p10	3bu8	10	B243	D431;A34;A35;D430;B242;A36;D432;B244;A33;B246;A37;A32;B240	D430;B242;A36;D432;B244;A33;B246;A37;A32;B240		13	14	20	structures/3bu8.min.reduce.renum.pdb	cc4dc324318180bca6671a1fe5ba968c3e461132e5981705e89816d183c11e2f	12643021_3	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	3
4	4wem_flex_p6	4wem	6	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279	B356;A3;A43;A5;A41;B279		10	11	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_4	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	4
5	4wem_flex_p7	4wem	7	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277	B356;A3;A43;A5;A41;B279;B277		11	12	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_5	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	5
6	4wem_flex_p8	4wem	8	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277;A196	B356;A3;A43;A5;A41;B279;B277;A196		12	13	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_6	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	6
7	4wem_flex_p9	4wem	9	B347	B357;B278;A42;A4;B356;A3;A43;A5;A41;B279;B277;A196;B276	B356;A3;A43;A5;A41;B279;B277;A196;B276		13	14	21	structures/4wem.min.reduce.renum.pdb	92f57e7f95c986bc8a452f99310c7b95971a58ccbddbc0a9b9b5d5c8522f9216	12643021_7	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	7
8	2rf9_flex_p7	2rf9	7	D586;D585	D582;D578;B499;B503;B504;B498;D581;D583;D587;D579;D584	B504;B498;D581;D583;D587;D579;D584		11	13	39	structures/2rf9.min.reduce.renum.pdb	f8e6b62f782e0041d58209e68b25129a7f6bd4f15371a7c05c93c0031d7a092b	12643021_8	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	8
9	2rf9_flex_p8	2rf9	8	D586;D585	D582;D578;B499;B503;B504;B498;D581;D583;D587;D579;D584;B502	B504;B498;D581;D583;D587;D579;D584;B502		12	14	39	structures/2rf9.min.reduce.renum.pdb	f8e6b62f782e0041d58209e68b25129a7f6bd4f15371a7c05c93c0031d7a092b	12643021_9	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	9
10	2rf9_flex_p9	2rf9	9	D586;D585	D582;D578;B499;B503;B504;B498;D581;D583;D587;D579;D584;B502;B500	B504;B498;D581;D583;D587;D579;D584;B502;B500		13	15	39	structures/2rf9.min.reduce.renum.pdb	f8e6b62f782e0041d58209e68b25129a7f6bd4f15371a7c05c93c0031d7a092b	12643021_10	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	10
11	2rf9_flex_p10	2rf9	10	D586;D585	D582;D578;B499;B503;B504;B498;D581;D583;D587;D579;D584;B502;B500;D577	B504;B498;D581;D583;D587;D579;D584;B502;B500;D577		14	16	39	structures/2rf9.min.reduce.renum.pdb	f8e6b62f782e0041d58209e68b25129a7f6bd4f15371a7c05c93c0031d7a092b	12643021_11	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	11
12	5it3_flex_p7	5it3	7	A41	B134;B153;A37;A34;A38;B133;B135;A39;A40;A35;A36;A33	B133;B135;A39;A40;A35;A36;A33		12	13	20	structures/5it3.min.reduce.renum.pdb	385250d44183624e89b21ca3ce213004c8f149a941f52f743a8dd20de870424c	12643021_12	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	12
13	5it3_flex_p8	5it3	8	A41	B134;B153;A37;A34;A38;B133;B135;A39;A40;A35;A36;A33;A42	B133;B135;A39;A40;A35;A36;A33;A42		13	14	20	structures/5it3.min.reduce.renum.pdb	385250d44183624e89b21ca3ce213004c8f149a941f52f743a8dd20de870424c	12643021_13	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	13
14	5it3_flex_p9	5it3	9	A41	B134;B153;A37;A34;A38;B133;B135;A39;A40;A35;A36;A33;A42;B137	B133;B135;A39;A40;A35;A36;A33;A42;B137		14	15	20	structures/5it3.min.reduce.renum.pdb	385250d44183624e89b21ca3ce213004c8f149a941f52f743a8dd20de870424c	12643021_14	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	14
15	5it3_flex_p10	5it3	10	A41	B134;B153;A37;A34;A38;B133;B135;A39;A40;A35;A36;A33;A42;B137;A31	B133;B135;A39;A40;A35;A36;A33;A42;B137;A31		15	16	20	structures/5it3.min.reduce.renum.pdb	385250d44183624e89b21ca3ce213004c8f149a941f52f743a8dd20de870424c	12643021_15	16	128	96	/usr/xtmp/lz280/packstar_flex_frontier20_20260919/prep_12643020/package	15
