design,node,partition,cpus,gpu_type,gpus,mem_gib,heap_gib,host_gib
2xxm,fennario-02,grisman,104,a5000,8,512,448,400
3bua,fennario-03,grisman,104,a5000,8,768,640,576
4z80,fennario-04,grisman,104,a5000,8,384,320,288
2rfd,fennario-05,grisman,104,a5000,8,256,224,192
2rfe,fennario-01,grisman,80,a5000,8,384,320,288
1a0r,fennario-06,grisman,72,a5000,8,256,224,192
5a6y,compsci-cluster-fitz-32,compsci-gpu,64,a5000,4,256,224,192
3ma2,compsci-cluster-fitz-20,compsci-gpu,48,a5000,4,256,224,192
2rl0,compsci-cluster-fitz-25,compsci-gpu,60,a5000,3,256,224,192
4wyq,compsci-cluster-fitz-30,compsci-gpu,60,a5000,3,256,224,192
3k3q,compsci-cluster-fitz-33,compsci-gpu,60,a5000,3,320,280,240
5em2,compsci-cluster-fitz-31,compsci-gpu,56,a5000,2,192,160,144
4wwi,compsci-cluster-fitz-13,compsci-gpu,44,a5000,3,192,160,144
4wyu,compsci-cluster-fitz-23,compsci-gpu,40,a5000,3,192,160,144
1b6c,compsci-cluster-fitz-09,compsci-gpu,46,a5000,2,256,224,192
5dc4,compsci-cluster-fitz-18,compsci-gpu,40,a5000,2,192,160,144
4kt6,compsci-cluster-fitz-12,compsci-gpu,32,a5000,2,192,160,144
1gwc,compsci-cluster-fitz-16,compsci-gpu,28,a5000,2,192,160,144
4u3s,linux41,compsci-gpu,40,p100,2,160,136,112
4hem,linux42,compsci-gpu,40,p100,2,128,104,88
2xgy,linux43,compsci-gpu,40,p100,2,160,136,112
2hnu,gpu-compute4,compsci-gpu,40,p100,2,112,96,80
2hnv,gpu-compute5,compsci-gpu,40,v100,2,160,136,112
3gxu,gpu-compute6,compsci-gpu,40,v100,2,112,96,80
2q2a,linux49,compsci-gpu,40,p100,2,128,104,88
3u7y,linux50,compsci-gpu,40,p100,2,128,104,88
5d68,compsci-cluster-fitz-22,compsci-gpu,32,a5000,1,160,136,112
4znc,compsci-cluster-fitz-15,compsci-gpu,24,a5000,1,112,96,80
5dc0,compsci-cluster-fitz-19,compsci-gpu,24,a5000,1,112,96,80
2p4a,compsci-cluster-fitz-02,compsci-gpu,24,a5000,1,112,96,80
3cal,jerry1,grisman,16,titan_v,1,112,96,80
2q1e,jerry2,grisman,16,titan_v,1,112,96,80
2rf9,jerry4,grisman,16,titan_v,1,112,96,80
3bu8,jerry6,grisman,16,titan_v,1,112,96,80
4pxf,jerry7,grisman,16,titan_v,1,112,96,80
4wem,grisman-40,grisman,16,titan_v,1,112,96,80
3eb6,linux54,compsci-gpu,16,rtx_5000,1,112,96,80
5it3,linux55,compsci-gpu,16,rtx_5000,1,112,96,80
